Longitude,Latitude,xxx
100.3072,5.332948,0
100.307031,5.333358,0
100.306927,5.333688,0
100.306891,5.333922,0
100.306855,5.334433,0
100.306935,5.33485,0
100.307039,5.335171,0
100.307264,5.335562,0
100.307453,5.335813,0
100.307828,5.336256,0
100.308034,5.336538,0
100.308271,5.33692,0
100.308395,5.3372,0
100.308462,5.337446,0
100.308501,5.337688,0
100.308449,5.337772,0
100.308323,5.337902,0
100.30827,5.337932,0
100.307958,5.338028,0
100.306678,5.338461,0
100.305057,5.338986,0
100.30473,5.339116,0
100.304533,5.339215,0
100.304202,5.339414,0
100.303811,5.339689,0
100.303669,5.339805,0
100.302766,5.340677,0
100.302585,5.340822,0
100.301651,5.341363,0
100.3005,5.341993,0
100.299749,5.342372,0
